대학명,연도,학과,학과_원본명,모집인원,지원인원,합격인원,최종합격_토익환산점수,최종합격_토익원점수,최종합격_학점환산점수,최종합격_학점원점수_100점만점,비고,합격자기준
강원대학교,2026,경영·회계학부(경영학전공),경영·회계학부(경영학전공),23,47,13,,869.78,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,경영·회계학부(회계학전공),경영·회계학부(회계학전공),13,18,2,,829.44,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,경제·정보통계학부(경제학전공),경제·정보통계학부(경제학전공),7,16,6,,738.58,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,경제·정보통계학부(정보통계학전공),경제·정보통계학부(정보통계학전공),4,8,4,,782.51,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,관광경영학과,관광경영학과,8,15,5,,871.26,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,국제무역학과,국제무역학과,10,21,5,,794.99,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,바이오산업공학부(바이오시스템기계공학전공),바이오산업공학부(바이오시스템기계공학전공),3,3,3,,465.01,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,바이오산업공학부(식품생명공학전공),바이오산업공학부(식품생명공학전공),4,12,4,,668.75,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,생물자원과학부(식물자원응용과학전공),생물자원과학부(식물자원응용과학전공),3,3,2,,561.66,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
강원대학교,2026,생물자원과학부(식물의학전공),생물자원과학부(식물의학전공),5,5,1,,691.23,,,"2026년 GPA 미반영, 공인영어만 반영 (본 서비스는 면접점수 미지원). 공인영어 배점 150점 반영, 정확한 배율 공식은 이미지 형태라 확인 불가 - 비례식으로 추정 적용",최초
